Title,Date,Rank,Gross,%YD,%LW,Theaters,Per Theater,Total Gross,Days
Avatar: The Way of Water (2022),2022-12-15T00:00:00Z,P,17000000,,,0,,17000000,
Avatar: The Way of Water (2022),2022-12-16T00:00:00Z,1,53200270,,,4202,12661.0,53200270,1.0
Avatar: The Way of Water (2022),2022-12-17T00:00:00Z,1,44327887,-17,,4202,10549.0,97528157,2.0
Avatar: The Way of Water (2022),2022-12-18T00:00:00Z,1,36572069,-17,,4202,8703.0,134100226,3.0
Avatar: The Way of Water (2022),2022-12-19T00:00:00Z,1,16257078,-56,,4202,3869.0,150357304,4.0
Avatar: The Way of Water (2022),2022-12-20T00:00:00Z,1,18288904,+12,,4202,4352.0,168646208,5.0
Avatar: The Way of Water (2022),2022-12-21T00:00:00Z,1,14403438,-21,,4202,3428.0,183049646,6.0
Avatar: The Way of Water (2022),2022-12-22T00:00:00Z,1,14632040,+2,,4202,3482.0,197681686,7.0
Avatar: The Way of Water (2022),2022-12-23T00:00:00Z,1,19289141,+32,-64,4202,4590.0,216970827,8.0
Avatar: The Way of Water (2022),2022-12-24T00:00:00Z,1,14869288,-23,-66,4202,3539.0,231840115,9.0
Avatar: The Way of Water (2022),2022-12-25T00:00:00Z,1,29179791,+96,-20,4202,6944.0,261019906,10.0
Avatar: The Way of Water (2022),2022-12-26T00:00:00Z,1,32270430,+11,+99,4202,7680.0,293290336,11.0
Avatar: The Way of Water (2022),2022-12-27T00:00:00Z,1,24128503,-25,+32,4202,5742.0,317418839,12.0
Avatar: The Way of Water (2022),2022-12-28T00:00:00Z,1,20582014,-15,+43,4202,4898.0,338000853,13.0
Avatar: The Way of Water (2022),2022-12-29T00:00:00Z,1,20117061,-2,+37,4202,4787.0,358117914,14.0
Avatar: The Way of Water (2022),2022-12-30T00:00:00Z,1,24836835,+23,+29,4202,5911.0,382954749,15.0
Avatar: The Way of Water (2022),2022-12-31T00:00:00Z,1,18053159,-27,+21,4202,4296.0,401007908,16.0
Avatar: The Way of Water (2022),2023-01-01T00:00:00Z,1,24519161,+36,-16,4202,5835.0,425527069,17.0
Avatar: The Way of Water (2022),2023-01-02T00:00:00Z,1,21411622,-13,-34,4202,5096.0,446938691,18.0
Avatar: The Way of Water (2022),2023-01-03T00:00:00Z,1,10544729,-51,-56,4202,2509.0,457483420,19.0
Avatar: The Way of Water (2022),2023-01-04T00:00:00Z,1,7475308,-29,-64,4202,1779.0,464958728,20.0
Avatar: The Way of Water (2022),2023-01-05T00:00:00Z,1,6830651,-9,-66,4202,1626.0,471789379,21.0
Avatar: The Way of Water (2022),2023-01-06T00:00:00Z,2,11421079,+67,-54,4340,2632.0,483210458,22.0
Avatar: The Way of Water (2022),2023-01-07T00:00:00Z,1,20688606,+81,+15,4340,4767.0,503899064,23.0
Avatar: The Way of Water (2022),2023-01-08T00:00:00Z,1,13729301,-34,-44,4340,3163.0,517628365,24.0
Avatar: The Way of Water (2022),2023-01-09T00:00:00Z,1,3478414,-75,-84,4340,801.0,521106779,25.0
Avatar: The Way of Water (2022),2023-01-10T00:00:00Z,1,4547214,+31,-57,4340,1048.0,525653993,26.0
Avatar: The Way of Water (2022),2023-01-11T00:00:00Z,1,3173055,-30,-58,4340,731.0,528827048,27.0
Avatar: The Way of Water (2022),2023-01-12T00:00:00Z,1,2974300,-6,-56,4340,685.0,531801348,28.0
Avatar: The Way of Water (2022),2023-01-13T00:00:00Z,1,7043560,+137,-38,4045,1741.0,538844908,29.0
Avatar: The Way of Water (2022),2023-01-14T00:00:00Z,1,14054064,+100,-32,4045,3474.0,552898972,30.0
Avatar: The Way of Water (2022),2023-01-15T00:00:00Z,1,11727060,-17,-15,4045,2899.0,564626032,31.0
Avatar: The Way of Water (2022),2023-01-16T00:00:00Z,1,7056071,-40,+103,4045,1744.0,571682103,32.0
Avatar: The Way of Water (2022),2023-01-17T00:00:00Z,1,2769211,-61,-39,4045,685.0,574451314,33.0
Avatar: The Way of Water (2022),2023-01-18T00:00:00Z,1,1865293,-33,-41,4045,461.0,576316607,34.0
Avatar: The Way of Water (2022),2023-01-19T00:00:00Z,1,1959746,+5,-34,4045,484.0,578276353,35.0
Avatar: The Way of Water (2022),2023-01-20T00:00:00Z,1,4671161,+138,-34,3790,1232.0,582947514,36.0
